Country,Species,Most common name,Description Of Specific Uses,Lang,Description,Transboundary name,Other name,Uses,Additional information,Additional information comments,Efabis cultural role comment,Efabis cultural value,Adaptability to specific environment,Specific resistance or tolerance,Specific reproductive characteristic,Special characteristic of product,Other special qualities,Reference for special qualities,Efabis genetic features,Efabis environmental role,Efabis adaptability to marginal land,Body conformation,Coat description,Coat quality,Comb type,Skin colour,Shank and foot colour,Plumage colour,Pattern within feather,Avian classification,Color comments,Efabis main colour,Efabis skin colour,Number of horns males,Number of horns females,Horn shape size and comments,Wither height males,Wither height females,Weight males,Weight females,Other specific visible traits,Breed classification,Herdbook,Herdbook established,Domestication status,Taxonomic classification,Description of origin,Year of origin,Import,Location within country,Egs per year AVG,Eggs per year MIN,Eggs per year MAX,Egg weight,Wool or hair,Wool type,Fleece weight AVG,Fleece weight MIN,Fleece weight MAX,Fibre diam,Management system,Feeding of adults,Mobility,Milk per year AVG,Milk per year MIN,Milk per year MAX,Lactation length AVG,Lactation length MIN,Lactation length MAX,Milk yield per lactation (kg) AVG,Milk yield per lactation (kg) MIN,Milk yield per lactation (kg) MAX,Milk fat AVG,Milk fat MIN,Milk fat MAX,Milk per day,Number of lactations,Efabis milk protein AVG,Efabis milk protein MIN,Efabis milk protein MAX,Birth weight males,Birth weight females,Age maturity males,Age maturity females,Age breeding males,Age breeding females,Age first parturition AVG,Age first parturition MIN,Age first parturition MAX,Parturition interval AVG,Parturition interval MIN,Parturition interval MAX,Length productive life,Daily gain,Carcass weight,Dressing percentage,Performance data reference,Managment conditions performance measured,Comments managment conditions,Additional performance parameters,Litter size AVG,Litter size MIN,Litter size MAX,Geographical classification,Local cryo conservation status,Local Risk,Local Detailed Risk,Regional Transboundary Risk (detailed),International Transboundary Risk (detailed)
Australia,Horse,Australian Draught Horse,,eng.,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,
Australia,Horse,Australian Pony,,eng.,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,"Thoroughbred, English Hackney pony and Hackney horse, Arab, Welsh Mountain and Cob type, Timor, Hungarian pony and Exmoor bloodlines were the main contributors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,
Australia,Horse,Australian Stockhorse,,eng.,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,
Australia,Horse,Australian Waler,,eng.,,,Waler,Riding (work),,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,light,,,0,domestic,variety,absorbed by Australian Stock Horse,,,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,extinct,extinct,,
Australia,Horse,Belgian Draught,,eng.,,Belgian Draft,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk
Australia,Horse,Belgian Warmblood,,eng.,,Belgian Warmblood,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,critical
Australia,Horse,Brumbie,,eng.,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,light animals,,,,feral,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,
Australia,Horse,Caspian,,eng.,,Caspian,Caspian Miniature,,,,,,,,, ,,,,,,,,,,,,,,,"uni coloured: usually bay, grey or chestnut, occasionally black",,,,,,,,,,pony,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,endangered
Australia,Horse,Cleveland Bay,,eng.,,Cleveland Bay,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,critical
Australia,Horse,Clydesdale,,eng.,,Clydesdale,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,endangered
Australia,Horse,Coffin Bay Pony,,eng.,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild,breed,parent breed; Timor Pony,,,South Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,
Australia,Horse,Connemara,,eng.,,Connemara Pony,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,"imported from Ireland. Descended from the primitive native stock interbred with the Spanish horses that swam ashore from the wrecks of the Spanish Armada. Arab, Thorougbred and Irish Draught blood have also contributed.",1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk
Australia,Horse,Dales,"It has been employed for carting and farmwork, as well as being used in local trotting races.",eng.,,Dales,,Racing,,,,,,,, ,,,,,,,,,,,,,,,"multi coloured: black, sometimes with dark brown and grey",,,,,,,,,,"This breed is one of the heaviest of Great Britain's native pony breeds, and there is a strong likeness to the Welsh Cob. The maximum allowed height of the breed is 14.2hh, but can be smaller.",,,,domestic,breed,,,,"Eastern side of the Pennines, England, in Northumberland, County Durham and Yorkshire.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,endangered
Australia,Horse,Danish Warmblood,,eng.,,Danish Warmblood,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,unknown
Australia,Horse,Dartmoor,,eng.,,Dartmoor Pony,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,endangered
Australia,Horse,Egyptian Arabian,,eng.,,Arab,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk
Australia,Horse,English Arabian,,eng.,,Arab,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk
Australia,Horse,English Riding Pony,,eng.,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,
Australia,Horse,English Spotted Pony,,eng.,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,
Australia,Horse,Exmoor,,eng.,,Exmoor Pony,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,critical
Australia,Horse,Falabella,,eng.,,Falabella Pony,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,vulnerable
Australia,Horse,Fjord,,eng.,,Fjord,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk
Australia,Horse,French Warmblood,,eng.,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,
Australia,Horse,Friesian,"He can be driven, ridden, jumped, likes working on the land or preforming in the circus.",eng.,,Friesian,,Riding (sports),,,,,,,, ,,,,,,,,,,,,,,,uni coloured: black,,,,,,,,,,"a long flowing mane and tail, often to the ground. He carries his noble head on a crested neck. His action is flamboyant and eye-catching.",,,,domestic,breed,"imported from The Netherlands, Friesland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk
Australia,Horse,German Warmblood,,eng.,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,
Australia,Horse,Greenbank Army,,eng.,,,Barrackr Brumby,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,
Australia,Horse,Guy Fawkes River National Park Brumby,,eng.,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,
Australia,Horse,Hackney,,eng.,,Hackney,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,vulnerable
Australia,Horse,Hackney Pony,,eng.,,Hackney Pony,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,endangered
Australia,Horse,Hafflinger,,,,Haflinger,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk
Australia,Horse,Hannovarian,,eng.,,Hanoverian,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk
Australia,Horse,Highland,,eng.,,Highland Pony,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,endangered
Australia,Horse,Icelandic,,eng.,,Iceland Pony,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk
Australia,Horse,Irish Draught,,eng.,,Irish Draught,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,vulnerable
Australia,Horse,Irish Sporthorse,,eng.,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,
Australia,Horse,Kosciusko Brumby,,eng.,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,
Australia,Horse,Lippizaner,,,,Lipitsa,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,vulnerable
Australia,Horse,Lusitano,,,,Lusitanian,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,"imported from Portugal; The Sorraia, believed to have developed from crosses between native Iberian Proto Draft Horses (Equus Caballus Caballus of Western Europe) and ancient strains of Oriental/North African horses. The origins of the Lusitano horse date back to at least 25,000 B.C. in the form of its primitive ancestor, the Sorraia breed.",2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,international,No Information,unknown,unknown,,notAtRisk
Australia,Horse,Miniature Horse,,eng.,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,
Australia,Horse,Miniature Pony,,eng.,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,
Australia,Horse,Morgan,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,
Australia,Horse,Namagdi National Park Brumby,,eng.,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Information,unknown,unknown,,
